"CASEID_NEW","PPGENDER","RESPONDENT_RACE","PPAGE","RESPONDENT_YRSED","HHINC","PPPARTYID3","GLBSTATUS","SAME_SEX_COUPLE","PARTNER_RACE","AGE_DIFFERENCE","PARTNER_YRSED","Q23","Q12","HOW_LONG_RELATIONSHIP","PARENTAL_APPROVAL","RELATIONSHIP_QUALITY"
38895,"(1) male","(1) NH white",89,13,13750,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",37,16,"(3) partner earned more","(5) no preference",19,NA,"(4) good"
40335,"(1) male","(1) NH white",33,20,45000,"(3) democrat","(1) glb","(1) same-sex couple","(2) NH black",6,12,"(1) i earned more","(2) democrat",2.5,"(0) don't approve or don't know","(4) good"
41505,"(1) male","(1) NH white",50,11,2500,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",2,16,"(3) partner earned more","(2) democrat",0.15000000596,"(0) don't approve or don't know","(4) good"
43381,"(1) male","(1) NH white",38,17,137250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",7,12,"(1) i earned more","(2) democrat",11,"(1) approve","(5) excellent"
44486,"(2) female","(2) NH black",48,13,112250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",1,13,"(3) partner earned more","(2) democrat",4,"(1) approve","(4) good"
46746,"(1) male","(1) NH white",74,20,80000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",13,14,"(1) i earned more","(2) democrat",43,NA,"(5) excellent"
48225,"(1) male","(1) NH white",22,13,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,16,"(1) i earned more","(1) republican",0.44999998808,"(1) approve","(5) excellent"
49731,"(1) male","(1) NH white",73,7.5,22250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",7,13,"(1) i earned more","(3) independent",46,NA,"(5) excellent"
51376,"(1) male","(6) Hispanic",37,16,92250,"(3) democrat","(1) glb","(1) same-sex couple","(6) Hispanic",4,13,"(1) i earned more","(2) democrat",2.5,"(1) approve","(4) good"
54415,"(2) female","(1) NH white",41,12,27250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",7,17,"(3) partner earned more","(3) independent",0.44999998808,"(0) don't approve or don't know","(4) good"
55365,"(2) female","(2) NH black",36,14,55000,"(3) democrat","(1) glb","(0) different sex couple","(2) NH black",1,12,"(3) partner earned more","(2) democrat",5,"(1) approve","(4) good"
55686,"(1) male","(1) NH white",68,16,37250,"(3) democrat","(1) glb","(1) same-sex couple","(4) NH Asian Pac Islander",32,16,"(3) partner earned more","(3) independent",12,"(1) approve","(5) excellent"
56536,"(2) female","(6) Hispanic",53,16,67250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",4,17,"(1) i earned more","(2) democrat",10,"(1) approve","(4) good"
58295,"(2) female","(1) NH white",29,16,45000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",5,17,"(1) i earned more","(1) republican",4,"(1) approve","(5) excellent"
60743,"(1) male","(1) NH white",74,20,55000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",16,20,"(2) we earned about the same amount","(2) democrat",0.15000000596,NA,"(4) good"
62283,"(2) female","(1) NH white",28,14,37250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,13,"(3) partner earned more","(1) republican",0.75,"(1) approve","(4) good"
64331,"(1) male","(6) Hispanic",33,12,55000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",9,10,"(3) partner earned more","(3) independent",7,"(1) approve","(5) excellent"
65446,"(2) female","(1) NH white",44,13,45000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",3,16,"(3) partner earned more","(2) democrat",0.75,"(0) don't approve or don't know","(5) excellent"
66484,"(1) male","(1) NH white",48,13,8750,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",10,13,"(3) partner earned more","(3) independent",0.75,NA,"(4) good"
68546,"(2) female","(1) NH white",54,17,112250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",6,16,"(1) i earned more","(2) democrat",20,"(0) don't approve or don't know","(4) good"
69311,"(1) male","(1) NH white",31,14,67250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",0,12,"(1) i earned more","(2) democrat",6,"(0) don't approve or don't know","(4) good"
72515,"(1) male","(1) NH white",51,13,27250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,13,"(3) partner earned more","(1) republican",11,"(1) approve","(4) good"
73603,"(1) male","(1) NH white",60,12,22250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,17,"(3) partner earned more","(5) no preference",29,"(1) approve","(1) very poor"
75621,"(1) male","(1) NH white",62,9,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",10,13,"(1) i earned more","(1) republican",29,NA,"(4) good"
77256,"(2) female","(1) NH white",25,16,80000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",8,14,"(2) we earned about the same amount","(2) democrat",5,"(1) approve","(5) excellent"
78351,"(1) male","(1) NH white",35,13,80000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",10,16,"(1) i earned more","(2) democrat",16,"(1) approve","(4) good"
79731,"(1) male","(1) NH white",73,17,112250,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",14,17,"(3) partner earned more","(2) democrat",26,NA,"(4) good"
80656,"(1) male","(1) NH white",65,16,55000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",1,16,"(2) we earned about the same amount","(2) democrat",30,"(1) approve","(5) excellent"
81286,"(1) male","(1) NH white",28,16,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",1,16,"(1) i earned more","(3) independent",2.5,"(1) approve","(5) excellent"
82431,"(2) female","(1) NH white",43,10,13750,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",10,13,"(1) i earned more","(5) no preference",26,NA,"(4) good"
83431,"(2) female","(1) NH white",43,16,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",1,20,"(3) partner earned more","(1) republican",23,"(1) approve","(5) excellent"
85281,"(2) female","(1) NH white",28,16,112250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",5,17,"(3) partner earned more","(1) republican",10,"(1) approve","(5) excellent"
86591,"(2) female","(1) NH white",59,13,17250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",7,14,"(1) i earned more","(2) democrat",19,NA,"(5) excellent"
89766,"(1) male","(1) NH white",76,16,67250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",18,13,"(2) we earned about the same amount","(2) democrat",35,NA,"(5) excellent"
94431,"(1) male","(6) Hispanic",43,16,80000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",13,14,"(1) i earned more","(2) democrat",14,"(1) approve","(4) good"
95431,"(1) male","(1) NH white",43,12,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,16,"(1) i earned more","(3) independent",25,"(1) approve","(3) fair"
97195,"(1) male","(1) NH white",19,13,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,13,"(1) i earned more","(3) independent",0.44999998808,"(1) approve","(5) excellent"
99611,"(1) male","(3) NH Amer Indian",61,16,112250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",2,20,"(3) partner earned more","(5) no preference",40,NA,"(5) excellent"
100331,"(1) male","(1) NH white",33,17,80000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",0,16,"(1) i earned more","(3) independent",11,"(1) approve","(4) good"
103545,"(2) female","(1) NH white",54,16,162250,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",2,13,"(1) i earned more","(1) republican",4,NA,"(5) excellent"
104565,"(1) male","(1) NH white",56,16,17250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",6,16,"(3) partner earned more","(3) independent",4,NA,"(5) excellent"
106296,"(2) female","(4) NH Asian Pac Islander",29,16,37250,"(1) republican","(0) not glb","(0) different sex couple",NA,70,13,"(2) we earned about the same amount","(5) no preference",9,"(0) don't approve or don't know","(4) good"
108381,"(2) female","(1) NH white",38,16,112250,"(1) republican","(1) glb","(0) different sex couple","(1) NH white",1,20,"(3) partner earned more","(5) no preference",19,"(1) approve","(3) fair"
108501,"(1) male","(1) NH white",50,20,80000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",2,20,"(1) i earned more","(2) democrat",27,"(1) approve","(5) excellent"
110316,"(1) male","(1) NH white",31,17,67250,"(3) democrat","(1) glb","(1) same-sex couple","(6) Hispanic",5,17,"(1) i earned more","(3) independent",4,"(0) don't approve or don't know","(4) good"
112646,"(1) male","(1) NH white",64,13,112250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",0,16,"(3) partner earned more","(2) democrat",30,NA,"(5) excellent"
113235,"(2) female","(1) NH white",23,13,112250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",3,16,"(3) partner earned more","(3) independent",5,"(1) approve","(4) good"
114276,"(2) female","(1) NH white",27,16,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",2,17,"(3) partner earned more","(1) republican",5,"(1) approve","(5) excellent"
115473,"(1) male","(1) NH white",47,13,92250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",9,13,"(1) i earned more","(2) democrat",11,NA,"(4) good"
116271,"(1) male","(1) NH white",27,13,55000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",3,12,"(1) i earned more","(5) no preference",7,"(1) approve","(5) excellent"
117401,"(1) male","(1) NH white",40,16,80000,"(2) other","(1) glb","(0) different sex couple","(1) NH white",NA,16,"(3) partner earned more","(1) republican",14,"(1) approve","(4) good"
119371,"(2) female","(1) NH white",37,12,13750,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",10,12,"(1) i earned more","(3) independent",8,"(1) approve","(5) excellent"
119663,"(1) male","(1) NH white",66,14,55000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",11,16,"(3) partner earned more","(2) democrat",20,NA,"(4) good"
120456,"(2) female","(6) Hispanic",45,12,137250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",13,17,"(3) partner earned more","(5) no preference",21,"(1) approve","(5) excellent"
121515,"(2) female","(1) NH white",51,16,55000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",2,20,"(3) partner earned more","(2) democrat",7,"(0) don't approve or don't know","(4) good"
122441,"(2) female","(1) NH white",44,12,37250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",3,12,"(3) partner earned more","(2) democrat",24,"(1) approve","(5) excellent"
125346,"(1) male","(1) NH white",34,16,32250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,12,"(2) we earned about the same amount","(5) no preference",6,"(0) don't approve or don't know","(3) fair"
126231,"(2) female","(5) NH Other",23,14,2e+05,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",11,16,"(3) partner earned more","(2) democrat",6,"(1) approve","(5) excellent"
128441,"(1) male","(2) NH black",44,12,162250,"(3) democrat","(0) not glb","(0) different sex couple","(2) NH black",1,16,"(3) partner earned more","(1) republican",2.5,"(1) approve","(5) excellent"
130266,"(1) male","(1) NH white",26,16,162250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",6,16,"(3) partner earned more","(5) no preference",2.5,"(1) approve","(5) excellent"
131561,"(2) female","(1) NH white",56,12,55000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",4,12,"(3) partner earned more","(1) republican",38,"(1) approve","(5) excellent"
133521,"(2) female","(1) NH white",52,16,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",2,12,"(3) partner earned more","(2) democrat",36,"(1) approve","(5) excellent"
134275,"(2) female","(1) NH white",27,13,55000,"(1) republican","(1) glb","(0) different sex couple","(1) NH white",3,13,"(1) i earned more","(2) democrat",2.5,"(1) approve","(5) excellent"
134461,"(1) male","(1) NH white",46,14,80000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",4,14,"(1) i earned more","(5) no preference",0.75,"(1) approve","(5) excellent"
135736,"(2) female","(1) NH white",73,13,55000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",7,20,"(3) partner earned more","(2) democrat",18,NA,"(5) excellent"
136275,"(1) male","(3) NH Amer Indian",27,17,67250,"(3) democrat","(1) glb","(0) different sex couple","(4) NH Asian Pac Islander",1,17,"(1) i earned more","(5) no preference",1.5,"(0) don't approve or don't know","(4) good"
137215,"(2) female","(1) NH white",21,13,37250,"(1) republican","(0) not glb","(1) same-sex couple","(1) NH white",0,13,"(2) we earned about the same amount","(2) democrat",2.5,"(1) approve","(5) excellent"
140511,"(2) female","(1) NH white",51,12,92250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,13,"(3) partner earned more","(1) republican",31,"(1) approve","(5) excellent"
142561,"(2) female","(2) NH black",56,13,55000,"(3) democrat","(0) not glb","(0) different sex couple","(3) NH Amer Indian",4,12,NA,"(2) democrat",39,NA,"(5) excellent"
143746,"(1) male","(1) NH white",74,20,80000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",0,12,"(2) we earned about the same amount","(3) independent",43,NA,"(5) excellent"
144545,"(1) male","(5) NH Other",54,20,45000,"(2) other","(0) not glb","(0) different sex couple","(1) NH white",21,20,"(3) partner earned more","(5) no preference",17,"(1) approve","(5) excellent"
145611,"(1) male","(1) NH white",61,13,80000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",3,13,"(1) i earned more","(3) independent",41,NA,"(5) excellent"
147245,"(1) male","(1) NH white",24,12,92250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",2,13,"(1) i earned more","(2) democrat",0.75,"(0) don't approve or don't know","(3) fair"
147525,"(2) female","(1) NH white",52,17,112250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",19,16,"(1) i earned more","(1) republican",19,"(0) don't approve or don't know","(5) excellent"
150411,"(1) male","(4) NH Asian Pac Islander",41,17,2e+05,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",3,16,"(2) we earned about the same amount","(2) democrat",8,"(1) approve","(5) excellent"
151506,"(2) female","(1) NH white",50,16,137250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",17,13,"(1) i earned more","(3) independent",10,"(1) approve","(5) excellent"
152762,"(2) female","(2) NH black",76,13,8750,"(3) democrat","(0) not glb","(0) different sex couple","(2) NH black",4,10,"(2) we earned about the same amount","(2) democrat",59,NA,"(3) fair"
154531,"(1) male","(1) NH white",53,12,112250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",3,17,"(1) i earned more","(2) democrat",29,"(0) don't approve or don't know","(4) good"
155561,"(2) female","(1) NH white",56,13,22250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",5,16,"(3) partner earned more","(3) independent",35,"(1) approve","(5) excellent"
156486,"(2) female","(4) NH Asian Pac Islander",48,14,55000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",14,16,"(3) partner earned more","(3) independent",8,NA,"(5) excellent"
157421,"(1) male","(1) NH white",42,13,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",10,14,"(3) partner earned more","(1) republican",11,"(1) approve","(4) good"
158261,"(2) female","(1) NH white",26,14,112250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",3,16,"(3) partner earned more","(2) democrat",8,"(1) approve","(5) excellent"
161715,"(1) male","(1) NH white",71,12,27250,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",1,13,"(2) we earned about the same amount","(3) independent",51,NA,"(5) excellent"
162521,"(2) female","(1) NH white",52,16,55000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",3,17,"(3) partner earned more","(1) republican",29,"(1) approve","(4) good"
163195,"(1) male","(4) NH Asian Pac Islander",19,12,22250,"(3) democrat","(0) not glb","(0) different sex couple","(4) NH Asian Pac Islander",1,13,"(2) we earned about the same amount","(2) democrat",0.15000000596,"(1) approve","(5) excellent"
166381,"(1) male","(6) Hispanic",38,16,112250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",7,16,"(1) i earned more","(3) independent",10,"(1) approve","(5) excellent"
167245,"(2) female","(1) NH white",24,13,6250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",35,16,"(3) partner earned more","(1) republican",5,"(1) approve","(5) excellent"
168646,"(2) female","(1) NH white",64,13,55000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",13,14,"(3) partner earned more","(3) independent",21,NA,"(5) excellent"
171391,"(1) male","(1) NH white",39,14,55000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",3,16,"(2) we earned about the same amount","(3) independent",0.44999998808,"(1) approve","(4) good"
172291,"(2) female","(1) NH white",29,16,112250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",0,14,"(3) partner earned more","(2) democrat",13,"(1) approve","(5) excellent"
173671,"(1) male","(1) NH white",67,12,27250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",1,12,"(1) i earned more","(2) democrat",49,NA,"(4) good"
174603,"(2) female","(2) NH black",60,16,37250,"(3) democrat","(0) not glb","(0) different sex couple","(2) NH black",3,12,"(3) partner earned more","(2) democrat",10,NA,"(5) excellent"
176495,"(2) female","(1) NH white",49,13,112250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",9,20,"(1) i earned more","(2) democrat",2.5,"(1) approve","(5) excellent"
177386,"(1) male","(1) NH white",38,16,137250,"(1) republican","(1) glb","(1) same-sex couple","(1) NH white",3,12,"(1) i earned more","(5) no preference",14,"(1) approve","(4) good"
179461,"(1) male","(1) NH white",46,12,137250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",2,13,"(1) i earned more","(3) independent",22,"(1) approve","(4) good"
180415,"(1) male","(2) NH black",41,16,27250,"(3) democrat","(1) glb","(1) same-sex couple","(5) NH Other",10,17,"(3) partner earned more","(5) no preference",17,"(1) approve","(5) excellent"
181403,"(1) male","(1) NH white",40,12,55000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",5,10,"(2) we earned about the same amount","(5) no preference",14,"(1) approve","(5) excellent"
185405,"(1) male","(1) NH white",40,16,13750,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",15,17,"(3) partner earned more","(2) democrat",1.5,"(0) don't approve or don't know","(4) good"
187511,"(1) male","(1) NH white",51,14,162250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",2,16,"(3) partner earned more","(1) republican",11,"(1) approve","(5) excellent"
189411,"(1) male","(1) NH white",41,16,92250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",1,17,"(1) i earned more","(1) republican",22,"(1) approve","(5) excellent"
190215,"(2) female","(1) NH white",21,13,55000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",1,13,"(2) we earned about the same amount","(1) republican",1.5,"(1) approve","(5) excellent"
191546,"(1) male","(2) NH black",54,12,13750,"(3) democrat","(0) not glb","(0) different sex couple","(2) NH black",0,12,"(3) partner earned more","(2) democrat",36,NA,"(4) good"
192341,"(1) male","(1) NH white",34,12,37250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",1,12,"(1) i earned more","(1) republican",11,"(1) approve","(4) good"
193446,"(2) female","(1) NH white",44,12,92250,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",6,13,"(3) partner earned more","(1) republican",6,"(0) don't approve or don't know","(3) fair"
194441,"(2) female","(1) NH white",44,12,45000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",7,12,"(3) partner earned more","(2) democrat",28,"(1) approve","(4) good"
196851,"(1) male","(1) NH white",85,12,45000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",2,13,"(1) i earned more","(3) independent",71,NA,"(5) excellent"
197486,"(2) female","(6) Hispanic",48,13,92250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",1,17,"(1) i earned more","(2) democrat",17,"(0) don't approve or don't know","(4) good"
199261,"(2) female","(1) NH white",26,17,17250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",1,17,"(3) partner earned more","(1) republican",7,"(1) approve","(5) excellent"
202631,"(1) male","(1) NH white",63,17,92250,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",12,17,"(2) we earned about the same amount","(2) democrat",36,NA,"(5) excellent"
203562,"(1) male","(1) NH white",56,14,45000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",2,16,"(1) i earned more","(3) independent",2.5,"(0) don't approve or don't know","(3) fair"
204561,"(2) female","(1) NH white",56,12,80000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",2,13,"(3) partner earned more","(2) democrat",39,"(1) approve","(4) good"
205421,"(1) male","(1) NH white",42,12,67250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",5,12,"(1) i earned more","(1) republican",20,"(1) approve","(5) excellent"
206541,"(2) female","(1) NH white",54,12,67250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",0,14,"(3) partner earned more","(2) democrat",35,"(1) approve","(5) excellent"
209345,"(1) male","(1) NH white",34,12,112250,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",5,12,"(2) we earned about the same amount","(3) independent",13,"(0) don't approve or don't know","(3) fair"
211571,"(2) female","(6) Hispanic",57,12,112250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",5,20,"(3) partner earned more","(3) independent",40,"(1) approve","(5) excellent"
212505,"(2) female","(2) NH black",50,12,17250,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",3,14,"(3) partner earned more","(2) democrat",0.75,NA,"(4) good"
214591,"(1) male","(1) NH white",59,12,55000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",5,16,"(3) partner earned more","(2) democrat",32,NA,"(5) excellent"
217365,"(2) female","(1) NH white",36,13,13750,"(3) democrat","(1) glb","(0) different sex couple","(2) NH black",5,12,"(3) partner earned more","(2) democrat",1.5,"(0) don't approve or don't know","(3) fair"
218426,"(2) female","(1) NH white",42,17,92250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",1,16,"(1) i earned more","(2) democrat",0.44999998808,"(0) don't approve or don't know","(5) excellent"
219265,"(1) male","(1) NH white",26,13,92250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",1,14,"(1) i earned more","(3) independent",12,"(1) approve","(5) excellent"
220411,"(1) male","(1) NH white",41,16,55000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",5,16,"(1) i earned more","(3) independent",11,"(1) approve","(5) excellent"
221225,"(1) male","(1) NH white",22,13,45000,"(3) democrat","(1) glb","(0) different sex couple","(6) Hispanic",2,13,"(1) i earned more","(3) independent",0.75,"(0) don't approve or don't know","(5) excellent"
222281,"(1) male","(1) NH white",28,16,80000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,17,"(1) i earned more","(1) republican",5,"(1) approve","(5) excellent"
224425,"(1) male","(1) NH white",42,12,22250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",3,12,"(1) i earned more","(5) no preference",22,"(1) approve","(4) good"
225411,"(1) male","(1) NH white",41,14,162250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",2,16,"(3) partner earned more","(1) republican",23,"(1) approve","(4) good"
225516,"(2) female","(1) NH white",51,13,55000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",23,17,"(2) we earned about the same amount","(2) democrat",30,NA,"(5) excellent"
226381,"(2) female","(1) NH white",38,20,2e+05,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",4,17,"(1) i earned more","(2) democrat",5,"(1) approve","(5) excellent"
228741,"(2) female","(1) NH white",74,11,17250,"(3) democrat","(0) not glb","(0) different sex couple","(6) Hispanic",11,10,"(3) partner earned more","(2) democrat",15,NA,"(5) excellent"
229666,"(2) female","(1) NH white",66,12,162250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",1,13,"(1) i earned more","(2) democrat",16,NA,"(4) good"
230271,"(2) female","(1) NH white",27,16,55000,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",1,16,"(3) partner earned more","(2) democrat",8,"(0) don't approve or don't know","(4) good"
230651,"(1) male","(1) NH white",65,13,32250,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",14,14,"(1) i earned more","(3) independent",38,NA,"(5) excellent"
231421,"(1) male","(1) NH white",42,13,112250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",0,16,"(3) partner earned more","(1) republican",24,"(1) approve","(5) excellent"
233441,"(1) male","(1) NH white",44,12,112250,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",6,12,"(3) partner earned more","(1) republican",20,"(1) approve","(5) excellent"
236195,"(1) male","(1) NH white",19,11,13750,"(3) democrat","(0) not glb","(0) different sex couple","(1) NH white",1,11,"(3) partner earned more","(2) democrat",0.05000000075,"(0) don't approve or don't know","(4) good"
236456,"(2) female","(5) NH Other",45,13,162250,"(3) democrat","(1) glb","(1) same-sex couple","(6) Hispanic",7,13,"(1) i earned more","(2) democrat",6,"(1) approve","(5) excellent"
239561,"(1) male","(1) NH white",56,17,92250,"(1) republican","(1) glb","(0) different sex couple","(1) NH white",0,13,"(1) i earned more","(3) independent",41,"(1) approve","(5) excellent"
242355,"(2) female","(1) NH white",35,16,55000,"(1) republican","(0) not glb","(0) different sex couple","(1) NH white",11,12,"(2) we earned about the same amount","(5) no preference",0.75,"(1) approve","(4) good"
